timestamp,memory_usage_bytes
0,818569216
1,887930880
2,887930880
3,887930880
4,967516160
5,1005760512
6,1005760512
7,1005760512
8,1005760512
9,1020313600
10,1020313600
11,1020313600
12,1020313600
13,1083019264
14,1020313600
15,1020313600
16,1020313600
17,1020313600
18,1020313600
19,1020313600
20,1020313600
21,1020313600
22,1020313600
23,1020313600
24,1020313600
25,1020313600
26,1020313600
27,1083019264
28,1020313600
29,1020313600
30,1020313600
31,1083019264
32,1020313600
33,1020313600
34,1020313600
35,1082900480
36,1083019264
37,895356928
