timestamp,memory_usage_bytes
0,948334592
1,948346880
2,948346880
3,948346880
4,982581248
5,988614656
6,988614656
7,988614656
8,1003315200
9,1001631744
10,1001631744
11,1001631744
12,1003466752
13,1003466752
14,1003466752
15,1003466752
16,1003466752
17,1003466752
18,1003466752
19,1003724800
20,1003724800
21,1003724800
22,1003724800
23,1003724800
24,1003724800
25,1003724800
26,1003724800
27,1003724800
28,1003724800
29,1003724800
30,1003724800
31,1160679424
32,1160679424
33,1161195520
34,1005203456
35,1005203456
36,1005203456
37,1005203456
38,1005203456
39,1005203456
40,1005203456
41,1005203456
42,1005203456
43,1005203456
