timestamp,memory_usage_bytes
0,592109568
1,847085568
2,847085568
3,847085568
4,847085568
5,847085568
6,847085568
7,847085568
8,847233024
9,847233024
10,848764928
11,1011515392
12,849108992
13,849223680
14,849223680
15,849068032
16,1013133312
17,849375232
18,849219584
19,849559552
20,849559552
21,849674240
22,849518592
23,849518592
24,849633280
25,849633280
26,849477632
27,849477632
28,849592320
29,849707008
30,849707008
31,849551360
32,849666048
33,849666048
34,849510400
35,849510400
36,849625088
37,849625088
38,849469440
39,849584128
40,849584128
41,849698816
42,849698816
43,849543168
44,849543168
45,849657856
46,849502208
47,849502208
48,849616896
49,849616896
50,849461248
51,849575936
52,849575936
53,849690624
54,849690624
55,849534976
56,1013407744
57,849649664
58,849494016
59,849494016
60,849608704
61,849608704
62,849453056
63,849453056
64,849567744
65,1013440512
66,849682432
67,1013284864
68,849526784
69,849526784
70,849641472
71,849641472
72,849485824
73,849600512
74,849600512
75,849444864
76,1011445760
77,849559552
78,849674240
79,849674240
80,849518592
81,849633280
82,849633280
83,849477632
84,849477632
85,849592320
86,849592320
87,849707008
88,1013309440
89,849551360
90,849666048
91,849666048
92,849510400
93,735547392
94,735547392
95,735547392
96,735547392
97,1081634816
98,2720395264
