timestamp,memory_usage_bytes
0,656826368
1,656826368
2,656826368
3,656826368
4,656826368
5,656826368
6,656826368
7,658915328
8,658915328
9,658915328
10,658915328
11,658915328
12,658915328
13,658915328
14,658915328
15,658915328
16,658915328
17,660856832
18,664887296
19,666828800
20,666828800
21,666828800
22,666828800
23,666828800
24,666828800
25,666828800
26,666828800
27,666828800
28,666828800
29,666828800
30,674742272
31,674742272
32,674742272
33,674742272
34,674742272
35,674742272
36,674742272
37,674742272
38,674742272
39,674742272
40,682799104
41,682799104
42,682799104
43,682799104
44,682799104
45,756817920
46,682684416
