timestamp,memory_usage_bytes
0,682684416
1,707014656
2,707014656
3,707014656
4,710897664
5,710897664
6,710897664
7,710897664
8,710897664
9,710897664
10,710897664
11,710897664
12,710897664
13,710897664
14,710897664
15,710897664
16,710897664
17,710897664
18,710897664
19,710897664
20,710897664
21,710897664
22,710897664
23,710897664
24,710897664
25,710897664
26,710897664
27,710897664
28,710897664
29,710897664
30,710897664
31,710897664
32,710897664
33,710897664
34,710897664
35,710897664
36,710897664
37,710897664
38,710897664
39,710897664
40,710897664
41,710897664
42,710897664
43,710897664
44,710897664
45,710897664
46,710897664
47,710631424
48,710631424
