timestamp,memory_usage_bytes
0,813543424
1,815640576
2,853921792
3,853921792
4,853921792
5,900792320
6,905101312
7,905101312
8,905101312
9,866791424
10,904032256
11,904032256
12,904032256
13,866553856
14,867840000
15,906125312
16,906125312
17,906121216
18,906121216
19,906121216
20,906121216
21,906121216
22,867840000
23,906121216
24,906121216
25,906121216
26,867840000
27,906125312
28,906125312
29,906125312
30,906121216
31,906121216
32,906121216
33,906121216
34,906186752
35,906186752
36,906186752
37,1213505536
38,1213505536
39,1213505536
40,1221730304
41,829665280
42,829665280
43,829665280
44,829665280
45,829665280
46,829665280
47,829665280
48,829665280
49,829665280
50,829665280
51,829665280
52,829665280
53,829665280
54,829665280
55,829665280
