timestamp,memory_usage_bytes
0,727207936
1,769744896
2,808263680
3,808263680
4,808263680
5,877666304
6,922238976
7,922238976
8,900710400
9,864555008
10,900218880
11,900218880
12,918499328
13,921198592
14,921198592
15,921198592
16,886165504
17,924446720
18,924446720
19,924446720
20,886165504
21,924450816
22,924450816
23,924450816
24,924442624
25,924442624
26,924442624
27,924442624
28,886165504
29,924446720
30,924446720
31,924446720
32,924446720
33,924446720
34,924446720
35,1231765504
36,1231765504
37,1231765504
38,849113088
39,849113088
40,849113088
41,849113088
42,849113088
43,849113088
44,849113088
45,849113088
46,849113088
47,849113088
48,849113088
49,849113088
50,849113088
51,849113088
