timestamp,memory_usage_bytes
0,725262336
1,729042944
2,729042944
3,729042944
4,729042944
5,767328256
6,837574656
7,837574656
8,837574656
9,837574656
10,837574656
11,837574656
12,839757824
13,839757824
14,839757824
15,839757824
16,839757824
17,839880704
18,801476608
19,801476608
20,801476608
21,801476608
22,839757824
23,839880704
24,839880704
25,839880704
26,839880704
27,839880704
28,839880704
29,839802880
30,839802880
31,839802880
32,839802880
33,839802880
34,839802880
35,801521664
36,801521664
37,801521664
38,801521664
39,801521664
40,841900032
41,839925760
42,839925760
43,839925760
44,839925760
45,839925760
46,839749632
47,1185472512
48,1185472512
49,801468416
