timestamp,memory_usage_bytes
0,584654848
1,840896512
2,840896512
3,840896512
4,840896512
5,840896512
6,840896512
7,840896512
8,840896512
9,840896512
10,840896512
11,840896512
12,840896512
13,840896512
14,840896512
15,840896512
16,840896512
17,1004810240
18,841166848
19,841166848
20,841166848
21,841166848
22,1004994560
23,842035200
24,842035200
25,842035200
26,842010624
27,842010624
28,842096640
29,842096640
30,842096640
31,841953280
32,841953280
33,841953280
34,842223616
35,842223616
36,842330112
37,842330112
38,842424320
39,842424320
40,842682368
41,842682368
42,842596352
43,842596352
44,842690560
45,842690560
46,842805248
47,842805248
48,842661888
49,1006469120
50,842747904
51,842604544
52,842604544
53,842706944
54,842706944
55,842706944
56,842797056
57,842797056
58,842653696
59,842653696
60,842739712
61,842739712
62,842846208
63,842846208
64,842702848
65,842702848
66,842788864
67,842788864
68,842645504
69,842645504
70,842731520
71,842731520
72,842838016
73,842838016
74,842694656
75,842694656
76,842780672
77,842780672
78,842637312
79,842637312
80,842723328
81,842723328
82,842829824
83,842829824
84,842686464
85,907698176
86,842772480
87,995864576
88,842629120
89,1006436352
90,842715136
91,842715136
92,842821632
93,842821632
94,842678272
95,842678272
96,842764288
97,842764288
98,842620928
99,842620928
100,842706944
101,842706944
102,842813440
103,842813440
104,842670080
105,842670080
106,842756096
107,842756096
108,842612736
109,842612736
110,842706944
111,842706944
112,842805248
113,842805248
114,842661888
115,842661888
116,842747904
117,842747904
118,842604544
119,842604544
120,842706944
121,842706944
122,842797056
123,727482368
124,728944640
125,728944640
126,728944640
127,728944640
128,915480576
129,1198899200
130,2713112576
