timestamp,memory_usage_bytes
0,730468352
1,737263616
2,737263616
3,737263616
4,737263616
5,737263616
6,737263616
7,737263616
8,737263616
9,737263616
10,737263616
11,737263616
12,737263616
13,737263616
14,737263616
15,737263616
16,737263616
17,737263616
18,737263616
19,737263616
20,737263616
21,737263616
22,737263616
23,737263616
24,737263616
25,737263616
26,737263616
27,737263616
28,737263616
29,737263616
30,739627008
31,741249024
32,742055936
33,742055936
34,742055936
35,742326272
36,745295872
37,755752960
38,830291968
39,814288896
