timestamp,memory_usage_bytes
0,612216832
1,612216832
2,612216832
3,612216832
4,612216832
5,612216832
6,612216832
7,612216832
8,612216832
9,612216832
10,612216832
11,612216832
12,612216832
13,612216832
14,612216832
15,612216832
16,612216832
17,612216832
18,612216832
19,612216832
20,612216832
21,612216832
22,612216832
23,612216832
24,612216832
25,612216832
26,612216832
27,612216832
28,612216832
29,623632384
30,625287168
31,637992960
32,650428416
33,662052864
34,674488320
35,686923776
36,699629568
37,734003200
38,642867200
39,642867200
40,642867200
41,642867200
42,642867200
43,642867200
