timestamp,memory_usage_bytes
0,576307200
1,576307200
2,576307200
3,576307200
4,590065664
5,594800640
6,594800640
7,606756864
8,605720576
9,605720576
10,605720576
11,605720576
12,607322112
13,607322112
14,607322112
15,607322112
16,607322112
17,607322112
18,607322112
19,607322112
20,607322112
21,607322112
22,607322112
23,607322112
24,607322112
25,607322112
26,607322112
27,607322112
28,607322112
29,607322112
30,728924160
31,728924160
32,729735168
33,608403456
34,608403456
35,608403456
36,608403456
37,608403456
38,608403456
39,608403456
40,608403456
41,608403456
42,608403456
43,608403456
44,608403456
