timestamp,memory_usage_bytes
0,881844224
1,881340416
2,881340416
3,881340416
4,891375616
5,905146368
6,952336384
7,944234496
8,927236096
9,927236096
10,927236096
11,927236096
12,950059008
13,927236096
14,927236096
15,927236096
16,927236096
17,952156160
18,946610176
19,927236096
20,927236096
21,927236096
22,950304768
23,947965952
24,927236096
25,927236096
26,927236096
27,927244288
28,952164352
29,947970048
30,927244288
31,927244288
32,927244288
33,950067200
34,944795648
35,927244288
36,927244288
37,952160256
38,950067200
39,944021504
40,927244288
41,927244288
42,927244288
43,952164352
44,927244288
45,927244288
46,927244288
47,927252480
48,927252480
49,952172544
50,946896896
51,927252480
52,927252480
53,927252480
54,948989952
55,927252480
56,927252480
57,927252480
58,927252480
59,952172544
60,927252480
61,927252480
62,927252480
63,927252480
64,952172544
65,948224000
66,927252480
67,927260672
68,927260672
69,952172544
70,947445760
71,927260672
72,927260672
73,927260672
74,952172544
75,950083584
76,942448640
77,927260672
78,927260672
79,927260672
80,927260672
81,952180736
82,948232192
83,946634752
84,941940736
85,927260672
86,927264768
87,927264768
88,951635968
89,948236288
90,927264768
91,927264768
92,927264768
93,927264768
94,927264768
95,952176640
96,947990528
97,927264768
98,927264768
99,927264768
100,952176640
101,927264768
102,927264768
103,927264768
104,927264768
105,952184832
106,948244480
107,944050176
108,927272960
109,927272960
110,927272960
111,952188928
112,927272960
113,927272960
114,927272960
115,927272960
116,952193024
117,948244480
118,944050176
119,927272960
120,927272960
121,927272960
122,952188928
123,927272960
124,927272960
125,927285248
126,927285248
127,927285248
128,948256768
129,927285248
130,927285248
131,927285248
132,927285248
133,951656448
134,948011008
135,941965312
136,927285248
137,927285248
138,927285248
139,951926784
140,927285248
141,941965312
142,927285248
143,927285248
144,927285248
145,952201216
146,947740672
147,927285248
148,927285248
149,927285248
150,952205312
151,948011008
152,942202880
153,927285248
154,927285248
155,927285248
156,927289344
157,950112256
158,946933760
159,941969408
160,927289344
161,927289344
162,927289344
163,951660544
164,948756480
165,927559680
166,927559680
167,928100352
168,928370688
169,928911360
170,951050240
171,949506048
172,944812032
173,930131968
174,930672640
175,930942976
176,955854848
177,951939072
178,946974720
179,932294656
180,932564992
181,954302464
182,950153216
183,933376000
184,933916672
185,934187008
186,959369216
187,934998016
188,934998016
189,935538688
190,935809024
191,961511424
192,936620032
193,936620032
194,936890368
195,962342912
196,937701376
197,938242048
198,938242048
199,938512384
200,963973120
201,927322112
202,927322112
203,927322112
204,927322112
205,927322112
206,927322112
207,951422976
208,944099328
209,927322112
210,927322112
211,948789248
212,944099328
213,927322112
214,927322112
215,927322112
216,927322112
217,944099328
218,927322112
219,927322112
220,968507392
221,944099328
222,927322112
223,927322112
224,927322112
225,952242176
226,927322112
227,927322112
228,927322112
229,927322112
230,950390784
231,944099328
232,927322112
233,927322112
234,927322112
235,967966720
236,946425856
237,927322112
238,927322112
239,950611968
240,927322112
241,927322112
242,927322112
243,968507392
244,948293632
245,944099328
246,927322112
247,927322112
248,952238080
249,947507200
250,927322112
251,927322112
252,927322112
253,952238080
254,927322112
255,927322112
256,927322112
257,927322112
258,927322112
259,927322112
260,927322112
261,927322112
262,952242176
263,927322112
264,927322112
265,927322112
266,927322112
267,944099328
268,927322112
269,927322112
270,927322112
271,950390784
272,946966528
273,927322112
274,927322112
275,927322112
276,968237056
277,944099328
278,927322112
279,927322112
280,927322112
281,951693312
282,927322112
283,927322112
284,927322112
285,927322112
286,952233984
287,944099328
288,944099328
289,927322112
290,927322112
291,970485760
292,928759808
293,928759808
294,928759808
295,928759808
296,953679872
297,928759808
298,928759808
299,928759808
300,928759808
301,951582720
302,928759808
303,928759808
304,928759808
305,951828480
306,945537024
307,928759808
308,928759808
309,953671680
310,945537024
311,928759808
312,929923072
313,929923072
314,954834944
315,949297152
316,929923072
317,929923072
318,929923072
319,952991744
320,929923072
321,929923072
322,929923072
323,929923072
324,954843136
325,929923072
326,929923072
327,929923072
328,929923072
